Goals,Total,Fact
168,223,""
61,72,"Penalty Kick"
22,32,"Own Goal"
15,21,"Assist:Kevin De Bruyne"
10,12,"Assist:Andrew Robertson"
10,13,"Assist:Trent Alexander-Arnold"
8,9,"Assist:Adama Traoré"
8,10,"Assist:Son Heung-min"
7,10,"Assist:David Silva"
7,7,"Assist:Lucas Digne"
7,10,"Assist:Mohamed Salah"
6,6,"Assist:Daniel James"
6,7,"Assist:Willian"
6,6,"Assist:Raúl Jiménez"
6,8,"Assist:Harvey Barnes"
6,6,"Assist:Dwight McNeil"
6,6,"Assist:Anthony Martial"
6,7,"Assist:Sadio Mané"
6,8,"Assist:Roberto Firmino"
5,7,"Assist:Bruno Fernandes"
5,5,"Assist:Pablo Fornals"
5,5,"Assist:Conor Hourihane"
5,5,"Assist:Bukayo Saka"
5,6,"Assist:Ashley Westwood"
5,7,"Assist:Emi Buendía"
5,6,"Assist:Youri Tielemans"
5,5,"Assist:Jamie Vardy"
5,6,"Assist:João Moutinho"
5,7,"Assist:Marcus Rashford"
4,4,"Assist:Jarrod Bowen"
4,4,"Assist:Nathan Redmond"
4,5,"Assist:Robert Snodgrass"
4,5,"Assist:Mason Mount"
4,4,"Assist:Aaron Wan-Bissaka"
4,7,"Assist:Gabriel Jesus"
4,4,"Assist:Andy Carroll"
4,5,"Assist:Jordan Henderson"
4,4,"Assist:Djibril Sidibé"
4,5,"Assist:Gerard Deulofeu"
4,7,"Assist:Bernardo Silva"
4,6,"Assist:Nicolas Pépé"
4,4,"Assist:Ayoze Pérez"
4,5,"Assist:Callum Hudson-Odoi"
4,6,"Assist:Jack Grealish"
4,4,"Assist:Diego Rico"
4,4,"Assist:Joshua King"
4,4,"Assist:Felipe Anderson"
4,4,"Assist:Kyle Walker"
4,4,"Assist:Lucas Moura"
4,4,"Assist:Erik Pieters"
3,3,"Assist:Stuart Armstrong"
3,3,"Assist:Matt Doherty"
3,4,"Assist:Ross Barkley"
3,4,"Assist:Allan Saint-Maximin"
3,9,"Assist:Riyad Mahrez"
3,3,"Assist:Neal Maupay"
3,5,"Assist:Serge Aurier"
3,3,"Assist:Michail Antonio"
3,3,"Assist:Pierre-Emerick Aubameyang"
