Date,Home,Away,Goal Scorer,Minute Scored,Team
2019-09-21,"Manchester City","Watford","David Silva",1,"Manchester City"
2020-07-26,"Newcastle Utd","Liverpool","Dwight Gayle",1,"Newcastle Utd"
2019-08-17,"Everton","Watford","Bernard",10,"Everton"
2019-09-14,"Tottenham","Crystal Palace","Son Heung-min",10,"Tottenham"
2019-09-21,"Burnley","Norwich City","Chris Wood",10,"Burnley"
2020-02-01,"Watford","Everton","Adam Masina",10,"Watford"
2020-07-01,"Everton","Leicester City","Richarlison",10,"Everton"
2020-07-07,"Watford","Norwich City","Craig Dawson",10,"Watford"
2020-07-08,"Manchester City","Newcastle Utd","Gabriel Jesus",10,"Manchester City"
2020-07-17,"West Ham","Watford","Tomáš Souček",10,"West Ham"
2019-11-09,"Burnley","West Ham","Ashley Barnes",11,"Burnley"
2020-07-26,"Manchester City","Norwich City","Gabriel Jesus",11,"Manchester City"
2019-08-31,"Leicester City","Bournemouth","Jamie Vardy",12,"Leicester City"
2019-09-01,"Everton","Wolves","Alex Iwobi",12,"Everton"
2019-09-21,"Manchester City","Watford","Riyad Mahrez",12,"Manchester City"
2019-10-25,"Southampton","Leicester City","Ryan Bertrand",12,"Southampton"
2019-08-17,"Arsenal","Burnley","Alexandre Lacazette",13,"Arsenal"
2019-11-10,"Liverpool","Manchester City","Mohamed Salah",13,"Liverpool"
2019-12-29,"Arsenal","Chelsea","Pierre-Emerick Aubameyang",13,"Arsenal"
2020-03-01,"Tottenham","Wolves","Steven Bergwijn",13,"Tottenham"
2020-03-07,"Burnley","Tottenham","Chris Wood",13,"Burnley"
2019-09-21,"Burnley","Norwich City","Chris Wood",14,"Burnley"
2020-01-11,"Leicester City","Southampton","Dennis Praet",14,"Leicester City"
2020-01-11,"Wolves","Newcastle Utd","Leander Dendoncker",14,"Wolves"
2020-01-19,"Liverpool","Manchester Utd","Virgil van Dijk",14,"Liverpool"
2020-03-08,"Chelsea","Everton","Mason Mount",14,"Chelsea"
2019-10-26,"Brighton","Everton","Pascal Groß",15,"Brighton"
2020-01-18,"Southampton","Wolves","Jan Bednarek",15,"Southampton"
2020-02-22,"Chelsea","Tottenham","Olivier Giroud",15,"Chelsea"
2020-02-29,"West Ham","Southampton","Jarrod Bowen",15,"West Ham"
2019-09-29,"Leicester City","Newcastle Utd","Ricardo Pereira",16,"Leicester City"
2020-07-01,"Everton","Leicester City","Gylfi Sigurðsson (P)",16,"Everton"
2020-07-05,"Southampton","Manchester City","Che Adams",16,"Southampton"
2019-08-24,"Watford","West Ham","Andre Gray",17,"Watford"
2019-09-28,"Bournemouth","West Ham","Joshua King",17,"Bournemouth"
2019-10-19,"Everton","West Ham","Bernard",17,"Everton"
2019-11-02,"Sheffield Utd","Burnley","John Lundstram",17,"Sheffield Utd"
2019-11-10,"Manchester Utd","Brighton","Andreas Pereira",17,"Manchester Utd"
2019-12-04,"Liverpool","Everton","Xherdan Shaqiri",17,"Liverpool"
2019-12-21,"Norwich City","Wolves","Todd Cantwell",17,"Norwich City"
2020-01-01,"Southampton","Tottenham","Danny Ings",17,"Southampton"
2020-01-01,"West Ham","Bournemouth","Mark Noble",17,"West Ham"
2020-07-05,"Newcastle Utd","West Ham","Miguel Almirón",17,"Newcastle Utd"
2019-08-11,"Manchester Utd","Chelsea","Marcus Rashford (P)",18,"Manchester Utd"
2019-09-14,"Norwich City","Manchester City","Kenny McLean",18,"Norwich City"
2019-09-28,"Wolves","Watford","Matt Doherty",18,"Wolves"
2019-11-23,"Arsenal","Southampton","Alexandre Lacazette",18,"Arsenal"
2019-11-30,"Liverpool","Brighton","Virgil van Dijk",18,"Liverpool"
2019-12-28,"Norwich City","Tottenham","Mario Vrančić",18,"Norwich City"
2020-02-08,"Everton","Crystal Palace","Bernard",18,"Everton"
2020-02-15,"Southampton","Burnley","Danny Ings",18,"Southampton"
2020-07-11,"Sheffield Utd","Chelsea","David McGoldrick",18,"Sheffield Utd"
2019-08-09,"Liverpool","Norwich City","Mohamed Salah",19,"Liverpool"
2019-08-31,"Chelsea","Sheffield Utd","Tammy Abraham",19,"Chelsea"
2019-11-10,"Manchester Utd","Brighton","Scott McTominay",19,"Manchester Utd"
2019-11-24,"Sheffield Utd","Manchester Utd","John Fleck",19,"Sheffield Utd"
2019-12-03,"Crystal Palace","Bournemouth","Mamadou Sakho",19,"Crystal Palace"
2020-02-23,"Wolves","Norwich City","Diogo Jota",19,"Wolves"
2020-07-12,"Tottenham","Arsenal","Son Heung-min",19,"Tottenham"
2019-08-31,"Manchester City","Brighton","Kevin De Bruyne",2,"Manchester City"
2019-08-17,"Manchester City","Tottenham","Raheem Sterling",20,"Manchester City"
2020-07-13,"Manchester Utd","Southampton","Marcus Rashford",20,"Manchester Utd"
2019-08-23,"Aston Villa","Everton","Wesley Moraes",21,"Aston Villa"
2019-09-14,"Tottenham","Crystal Palace","Patrick van Aanholt (OG)",21,"Tottenham"
2019-09-28,"Crystal Palace","Norwich City","Luka Milivojević (P)",21,"Crystal Palace"
2019-11-02,"Aston Villa","Liverpool","Trézéguet",21,"Aston Villa"
2019-11-02,"Arsenal","Wolves","Pierre-Emerick Aubameyang",21,"Arsenal"
2019-11-30,"Tottenham","Bournemouth","Dele Alli",21,"Tottenham"
2019-12-01,"Norwich City","Arsenal","Teemu Pukki",21,"Norwich City"
2020-03-08,"Chelsea","Everton","Pedro",21,"Chelsea"
2020-07-07,"Arsenal","Leicester City","Pierre-Emerick Aubameyang",21,"Arsenal"
2020-07-08,"Manchester City","Newcastle Utd","Riyad Mahrez",21,"Manchester City"
2019-12-04,"Southampton","Norwich City","Danny Ings",22,"Southampton"
2020-06-22,"Manchester City","Burnley","Phil Foden",22,"Manchester City"
2019-09-15,"Bournemouth","Everton","Callum Wilson",23,"Bournemouth"
2019-12-04,"Wolves","West Ham","Leander Dendoncker",23,"Wolves"
2020-06-24,"Liverpool","Crystal Palace","Trent Alexander-Arnold",23,"Liverpool"
2020-07-13,"Manchester Utd","Southampton","Anthony Martial",23,"Manchester Utd"
2020-07-22,"Liverpool","Chelsea","Naby Keïta",23,"Liverpool"
2019-08-31,"West Ham","Norwich City","Sébastien Haller",24,"West Ham"
2019-09-28,"Tottenham","Southampton","Tanguy Ndombele",24,"Tottenham"
