Goals,Total,Player
9,9,"Jordan Ayew"
9,16,"Sergio Agüero"
9,10,"Neal Maupay"
8,8,"Dele Alli"
8,11,"Riyad Mahrez"
8,10,"Mason Greenwood"
8,10,"Alexandre Lacazette"
7,9,"Willian"
7,9,"Christian Pulisic"
7,8,"Jay Rodriguez"
7,7,"Sébastien Haller"
7,11,"Teemu Pukki"
7,10,"Troy Deeney"
7,10,"Michail Antonio"
6,9,"Roberto Firmino"
6,8,"Olivier Giroud"
6,8,"Callum Wilson"
6,8,"Bruno Fernandes"
6,7,"Mason Mount"
6,7,"Diogo Jota"
6,6,"Todd Cantwell"
6,6,"Lys Mousset"
6,6,"Ashley Barnes"
5,8,"Jack Grealish"
5,6,"Trézéguet"
5,6,"Oliver McBurnie"
5,6,"Joshua King"
5,6,"James Maddison"
5,6,"Harvey Barnes"
5,5,"Wesley Moraes"
5,5,"Virgil van Dijk"
5,5,"Stuart Armstrong"
5,5,"Nicolas Pépé"
5,5,"Leandro Trossard"
5,5,"Leander Dendoncker"
5,5,"John Lundstram"
5,5,"Andriy Yarmolenko"
5,5,"Abdoulaye Doucouré"
4,8,"Ayoze Pérez"
4,7,"Harry Wilson"
4,6,"Jonjo Shelvey"
4,6,"David Silva"
4,5,"Robert Snodgrass"
4,5,"Kelechi Iheanacho"
4,5,"John Fleck"
4,5,"James Ward-Prowse"
4,5,"Ismaila Sarr"
4,5,"Alex Oxlade-Chamberlain"
4,4,"Wilfried Zaha"
4,4,"Tomáš Souček"
4,4,"Scott McTominay"
4,4,"Patrick van Aanholt"
4,4,"Matt Doherty"
4,4,"Marcos Alonso"
4,4,"Jorginho"
4,4,"Jordan Henderson"
4,4,"Dwight Gayle"
4,4,"Che Adams"
4,4,"Adam Webster"
3,4,"Trent Alexander-Arnold"
3,4,"Nathan Redmond"
3,4,"Miguel Almirón"
3,4,"Lucas Moura"
3,4,"Gerard Deulofeu"
3,4,"Divock Origi"
3,4,"Anwar El Ghazi"
3,4,"Adama Traoré"
3,3,"Youri Tielemans"
3,3,"Toby Alderweireld"
3,3,"Steven Bergwijn"
3,3,"Ricardo Pereira"
3,3,"Michael Obafemi"
3,3,"Michael Keane"
3,3,"Martinelli"
3,3,"Luka Milivojević"
3,3,"Junior Stanislas"
3,3,"Jeffrey Schlupp"
3,3,"Issa Diop"
3,3,"Billy Sharp"
3,3,"Bernard"
3,3,"Ben Chilwell"
3,3,"Allan Saint-Maximin"
3,3,"Aaron Cresswell"
21,22,"Pierre-Emerick Aubameyang"
2,4,"Mark Noble"
2,4,"Georginio Wijnaldum"
2,3,"Yerry Mina"
2,3,"Roberto Pereyra"
2,3,"Pascal Groß"
2,3,"N'Golo Kanté"
2,3,"John McGinn"
2,3,"Federico Fernández"
2,3,"Dominic Solanke"
2,3,"Daniel James"
2,3,"Dan Gosling"
2,3,"Conor Hourihane"
2,3,"Antonio Rüdiger"
2,3,"Aaron Connolly"
2,2,"Victor Lindelöf"
2,2,"Tyrone Mings"
2,2,"Theo Walcott"
2,2,"Tanguy Ndombele"
2,2,"Shane Long"
2,2,"Serge Aurier"
2,2,"Rúben Neves"
2,2,"Pablo Fornals"
2,2,"Nathan Aké"
2,2,"Naby Keïta"
2,2,"Moussa Djenepo"
2,2,"Moise Kean"
2,2,"Matěj Vydra"
2,2,"Matthew Longstaff"
2,2,"Matt Ritchie"
2,2,"Jonny Evans"
2,2,"Jonny Castro"
2,2,"John Egan"
2,2,"Jeff Hendrick"
2,2,"James Milner"
2,2,"Gylfi Sigurðsson"
2,2,"George Baldock"
2,2,"Fabian Schär"
2,2,"Enda Stevens"
2,2,"Eddie Nketiah"
2,2,"Demarai Gray"
2,2,"David Luiz"
2,2,"César Azpilicueta"
2,2,"Craig Dawson"
2,2,"Ciaran Clark"
2,2,"Christian Eriksen"
2,2,"Cenk Tosun"
2,2,"Ashley Westwood"
2,2,"Andrew Robertson"
2,2,"Andre Gray"
2,2,"Alireza Jahanbakhsh"
19,22,"Danny Ings"
17,18,"Sadio Mané"
16,23,"Jamie Vardy"
16,17,"Marcus Rashford"
15,18,"Harry Kane"
15,17,"Raúl Jiménez"
14,20,"Raheem Sterling"
14,19,"Mohamed Salah"
14,15,"Chris Wood"
13,17,"Anthony Martial"
13,14,"Gabriel Jesus"
13,13,"Dominic Calvert-Lewin"
12,16,"Tammy Abraham"
11,13,"Richarlison"
10,13,"Kevin De Bruyne"
10,11,"Son Heung-min"
1,5,"Phil Foden"
1,3,"Rodri"
1,3,"Pedro Neto"
1,3,"Lewis Dunk"
1,3,"Douglas Luiz"
1,3,"Angelo Ogbonna"
1,2,"İlkay Gündoğan"
1,2,"Érik Lamela"
1,2,"Wilfred Ndidi"
1,2,"Sokratis Papastathopoulos"
1,2,"Romain Saïss"
1,2,"Patrick Cutrone"
1,2,"Joelinton"
1,2,"Jetro Willems"
1,2,"Jan Bednarek"
1,2,"James Tarkowski"
1,2,"Florian Lejeune"
1,2,"David McGoldrick"
1,2,"Danny Welbeck"
1,2,"Christian Benteke"
1,2,"Aaron Mooy"
1,1,"Çağlar Söyüncü"
1,1,"Yves Bissouma"
1,1,"Xherdan Shaqiri"
1,1,"Will Hughes"
1,1,"Vicente Guaita"
1,1,"Tom Heaton"
1,1,"Tom Davies"
1,1,"Tim Krul"
1,1,"Shane Duffy"
1,1,"Sean Longstaff"
1,1,"Sander Berge"
1,1,"Ryan Fraser"
1,1,"Ryan Bertrand"
1,1,"Reiss Nelson"
1,1,"Philip Billing"
1,1,"Pedro"
1,1,"Oliver Norwood"
1,1,"Matt Targett"
1,1,"Mario Vrančić"
1,1,"Lucas Digne"
1,1,"Kyle Walker"
1,1,"Kurt Zouma"
1,1,"Kortney Hause"
1,1,"Kieran Tierney"
1,1,"Kenny McLean"
1,1,"Joël Matip"
1,1,"João Moutinho"
1,1,"Joe Willock"
1,1,"Jesse Lingard"
1,1,"Jefferson Lerma"
1,1,"Javier Hernández"
1,1,"Jarrod Bowen"
1,1,"Jannik Vestergaard"
1,1,"Jan Vertonghen"
1,1,"James Tomkins"
1,1,"Jamal Lewis"
1,1,"Jamaal Lascelles"
1,1,"Jack Stephens"
1,1,"Isaac Hayden"
1,1,"Héctor Bellerín"
1,1,"Harry Maguire"
1,1,"Granit Xhaka"
1,1,"Glenn Murray"
1,1,"Florin Andone"
1,1,"Fikayo Tomori"
1,1,"Fernandinho"
1,1,"Ezri Konsa"
1,1,"Emi Buendía"
1,1,"Dennis Srbeny"
1,1,"Dennis Praet"
1,1,"Declan Rice"
1,1,"DeAndre Yedlin"
1,1,"Davy Pröpper"
1,1,"Daryl Janmaat"
1,1,"Daniel Podence"
1,1,"Curtis Jones"
1,1,"Connor Wickham"
1,1,"Chris Mepham"
1,1,"Cheikhou Kouyaté"
1,1,"Calum Chambers"
1,1,"Bukayo Saka"
1,1,"Ben Mee"
1,1,"Ben Godfrey"
1,1,"Andros Townsend"
1,1,"Andreas Pereira"
1,1,"Alexander Tettey"
1,1,"Alex Iwobi"
1,1,"Ahmed Elmohamady"
1,1,"Adrian Mariappa"
1,1,"Adam Masina"
1,1,"Adam Lallana"
