Team,Name,Position,Age
Liverpool,Virgil van Dijk,DF,28
Liverpool,Trent Alexander-Arnold,DF,20
Liverpool,Georginio Wijnaldum,MF,28
Liverpool,Andrew Robertson,DF,25
Liverpool,Roberto Firmino,FW,27
Liverpool,Mohamed Salah,FW,27
Liverpool,Sadio Mané,FW,27
Liverpool,Alisson,GK,26
Liverpool,Jordan Henderson,MF,29
Liverpool,Fabinho,MF,25
Liverpool,Joe Gomez,DF,22
Liverpool,Alex Oxlade-Chamberlain,MF,FW,25
Liverpool,James Milner,MF,DF,33
Liverpool,Adrián,GK,32
Liverpool,Naby Keïta,MF,24
Liverpool,Dejan Lovren,DF,30
Liverpool,Joël Matip,DF,27
Liverpool,Divock Origi,FW,24
Liverpool,Adam Lallana,MF,FW,31
Liverpool,Neco Williams,DF,18
Liverpool,Takumi Minamino,FW,MF,24
Liverpool,Xherdan Shaqiri,FW,27
Liverpool,Curtis Jones,MF,18
Liverpool,Harvey Elliot,DF,16
Liverpool,Rhian Brewster,FW,19
Liverpool,Ki-Jana Hoever,DF,17
Liverpool,Caoimhin Kelleher,GK,20
Liverpool,Andy Lonergan,GK,35
Liverpool,Nathaniel Phillips,DF,22
Manchester City,Ederson,GK,25
Manchester City,Kevin De Bruyne,MF,28
Manchester City,Raheem Sterling,FW,24
Manchester City,Rodri,MF,23
Manchester City,Kyle Walker,DF,29
Manchester City,Fernandinho,DF,34
Manchester City,Bernardo Silva,FW,MF,24
Manchester City,David Silva,MF,33
Manchester City,Gabriel Jesus,FW,22
Manchester City,İlkay Gündoğan,MF,28
Manchester City,Riyad Mahrez,FW,28
Manchester City,Nicolás Otamendi,DF,31
Manchester City,Benjamin Mendy,DF,25
Manchester City,Sergio Agüero,FW,31
Manchester City,Aymeric Laporte,DF,25
Manchester City,Oleksandr Zinchenko,DF,22
Manchester City,João Cancelo,DF,25
Manchester City,John Stones,DF,25
Manchester City,Phil Foden,FW,MF,19
Manchester City,Eric García,DF,18
Manchester City,Angeliño,DF,22
Manchester City,Claudio Bravo,GK,36
Manchester City,Thomas Doyle,MF,FW,17
Manchester City,Leroy Sané,FW,23
Manchester City,Scott Carson,GK,33
Manchester City,Taylor Harwood-Bellis,DF,17
Manchester City,Cole Palmer,MF,17
Manchester Utd,David de Gea,GK,28
Manchester Utd,Harry Maguire,DF,26
Manchester Utd,Victor Lindelöf,DF,25
Manchester Utd,Aaron Wan-Bissaka,DF,21
Manchester Utd,Marcus Rashford,FW,21
Manchester Utd,Anthony Martial,FW,23
Manchester Utd,Daniel James,FW,21
Manchester Utd,Fred,MF,26
Manchester Utd,Scott McTominay,MF,22
Manchester Utd,Luke Shaw,DF,24
Manchester Utd,Nemanja Matić,MF,30
Manchester Utd,Andreas Pereira,MF,FW,23
Manchester Utd,Bruno Fernandes,MF,24
Manchester Utd,Paul Pogba,MF,26
Manchester Utd,Mason Greenwood,FW,17
Manchester Utd,Brandon Williams,DF,18
Manchester Utd,Ashley Young,DF,34
Manchester Utd,Jesse Lingard,MF,FW,26
Manchester Utd,Juan Mata,MF,FW,31
Manchester Utd,Axel Tuanzebe,DF,21
Manchester Utd,Timothy Fosu-Mensah,DF,21
Manchester Utd,Phil Jones,DF,27
Manchester Utd,Eric Bailly,DF,25
Manchester Utd,Marcos Rojo,DF,29
Manchester Utd,Diogo Dalot,DF,20
Manchester Utd,Odion Ighalo,FW,30
Manchester Utd,Tahith Chong,FW,MF,19
Manchester Utd,Angel Gomes,MF,18
Manchester Utd,James Garner,MF,18
Manchester Utd,Lee Grant,GK,36
Manchester Utd,Sergio Romero,GK,32
Chelsea,César Azpilicueta,DF,29
Chelsea,Kepa Arrizabalaga,GK,24
Chelsea,Mason Mount,MF,FW,20
Chelsea,Willian,FW,30
Chelsea,Jorginho,MF,27
Chelsea,Kurt Zouma,DF,24
Chelsea,Tammy Abraham,FW,21
Chelsea,Mateo Kovačić,MF,25
Chelsea,Andreas Christensen,DF,23
Chelsea,N'Golo Kanté,MF,28
Chelsea,Christian Pulisic,FW,20
Chelsea,Antonio Rüdiger,DF,26
Chelsea,Reece James,DF,19
Chelsea,Marcos Alonso,DF,28
Chelsea,Fikayo Tomori,DF,21
Chelsea,Ross Barkley,MF,25
Chelsea,Emerson Palmieri,DF,24
Chelsea,Olivier Giroud,FW,32
Chelsea,Pedro,FW,32
Chelsea,Callum Hudson-Odoi,FW,18
Chelsea,Willy Caballero,GK,37
Chelsea,Ruben Loftus-Cheek,MF,FW,23
Chelsea,Billy Gilmour,MF,18
Chelsea,Michy Batshuayi,FW,25
Chelsea,Tariq Lamptey,DF,18
Chelsea,Faustino Anjorin,FW,17
Chelsea,Armando Broja,FW,17
Chelsea,Lewis Bate,MF,16
Chelsea,Marc Guéhi,DF,19
Chelsea,Kenedy,FW,MF,23
Leicester City,Kasper Schmeichel,GK,32
Leicester City,Jonny Evans,DF,31
Leicester City,Çağlar Söyüncü,DF,23
Leicester City,Jamie Vardy,FW,32
Leicester City,Youri Tielemans,MF,22
Leicester City,Wilfred Ndidi,MF,22
Leicester City,James Maddison,MF,22
Leicester City,Ricardo Pereira,DF,25
Leicester City,Ben Chilwell,DF,22
Leicester City,Ayoze Pérez,MF,FW,26
Leicester City,Harvey Barnes,MF,FW,21
Leicester City,Dennis Praet,MF,25
Leicester City,Kelechi Iheanacho,FW,22
Leicester City,James Justin,DF,21
Leicester City,Hamza Choudhury,MF,21
Leicester City,Marc Albrighton,MF,DF,29
Leicester City,Christian Fuchs,DF,33
Leicester City,Wes Morgan,DF,35
Leicester City,Nampalys Mendy,MF,27
Leicester City,Demarai Gray,MF,FW,23
Leicester City,Ryan Bennett,DF,29
Leicester City,Luke Thomas,DF,
Leicester City,George Hirst,FW,20
Leicester City,Matty James,MF,28
Leicester City,Filip Benković,DF,22
Leicester City,Darnell Johnson,DF,20
Leicester City,Danny Ward,GK,26
Tottenham,Toby Alderweireld,DF,30
Tottenham,Serge Aurier,DF,26
Tottenham,Harry Kane,FW,26
Tottenham,Son Heung-min,FW,MF,27
Tottenham,Moussa Sissoko,MF,29
Tottenham,Davinson Sánchez,DF,23
Tottenham,Harry Winks,MF,23
Tottenham,Lucas Moura,FW,MF,26
Tottenham,Dele Alli,MF,FW,23
Tottenham,Hugo Lloris,GK,32
Tottenham,Jan Vertonghen,DF,32
Tottenham,Paulo Gazzaniga,GK,27
Tottenham,Ben Davies,DF,26
Tottenham,Giovani Lo Celso,MF,FW,23
Tottenham,Eric Dier,DF,MF,25
Tottenham,Érik Lamela,MF,FW,27
Tottenham,Tanguy Ndombele,MF,22
Tottenham,Christian Eriksen,MF,FW,27
Tottenham,Danny Rose,DF,29
Tottenham,Steven Bergwijn,FW,MF,21
Tottenham,Japhet Tanganga,DF,20
Tottenham,Ryan Sessegnon,DF,19
Tottenham,Kyle Walker-Peters,DF,22
Tottenham,Oliver Skipp,MF,DF,18
Tottenham,Juan Foyth,DF,21
Tottenham,Gedson Fernandes,MF,DF,20
Tottenham,Victor Wanyama,MF,28
Tottenham,Troy Parrott,MF,17
Tottenham,Georges-Kévin N'Koudou,FW,24
Tottenham,Brandon Austin,GK,20
Tottenham,Dennis Cirken,DF,17
Tottenham,Michel Vorm,GK,35
Tottenham,Harvey White,MF,17
Tottenham,Alfie Whiteman,GK,20
Wolves,Conor Coady,DF,26
Wolves,Rui Patrício,GK,31
Wolves,Raúl Jiménez,FW,28
Wolves,Rúben Neves,MF,22
Wolves,João Moutinho,MF,32
Wolves,Jonny Castro,DF,25
Wolves,Matt Doherty,DF,27
Wolves,Leander Dendoncker,MF,DF,24
Wolves,Romain Saïss,DF,29
Wolves,Adama Traoré,FW,MF,23
Wolves,Diogo Jota,FW,MF,22
Wolves,Willy Boly,DF,28
Wolves,Pedro Neto,FW,MF,19
Wolves,Ryan Bennett,DF,29
Wolves,Rúben Vinagre,DF,20
Wolves,Patrick Cutrone,FW,21
Wolves,Daniel Podence,FW,MF,23
Wolves,Max Kilman,DF,22
Wolves,Jesús Vallejo,DF,22
Wolves,Morgan Gibbs-White,MF,FW,19
Wolves,Bruno Jordão,FW,20
Wolves,Bernard Ashley-Seal,FW,20
Wolves,Oskar Buur,DF,MF,21
Wolves,Leonardo Campana,FW,19
Wolves,Luke Cundle,MF,
Wolves,Ryan John Giles,MF,19
Wolves,Owen Otasowie,MF,18
Wolves,Taylor Perry,MF,18
Wolves,John Ruddy,GK,32
Arsenal,Pierre-Emerick Aubameyang,FW,30
Arsenal,David Luiz,DF,32
Arsenal,Bernd Leno,GK,27
Arsenal,Granit Xhaka,MF,26
Arsenal,Nicolas Pépé,FW,24
Arsenal,Alexandre Lacazette,FW,28
Arsenal,Bukayo Saka,DF,FW,17
Arsenal,Mattéo Guendouzi,MF,20
Arsenal,Sead Kolašinac,DF,26
Arsenal,Sokratis Papastathopoulos,DF,31
Arsenal,Dani Ceballos,MF,22
Arsenal,Mesut Özil,MF,30
Arsenal,Lucas Torreira,MF,23
Arsenal,Ainsley Maitland-Niles,DF,21
Arsenal,Shkodran Mustafi,DF,27
Arsenal,Héctor Bellerín,DF,24
Arsenal,Calum Chambers,DF,24
Arsenal,Kieran Tierney,DF,22
Arsenal,Joe Willock,MF,FW,19
Arsenal,Emiliano Martínez,GK,26
Arsenal,Eddie Nketiah,FW,20
Arsenal,Reiss Nelson,FW,19
Arsenal,Martinelli,FW,18
Arsenal,Rob Holding,DF,23
Arsenal,Nacho Monreal,DF,33
Arsenal,Cédric Soares,DF,27
Arsenal,Pablo Marí,DF,25
Arsenal,Henrikh Mkhitaryan,FW,30
Arsenal,Emile Smith-Rowe,MF,19
Arsenal,Tyreece John-Jules,FW,18
Arsenal,Matt Macey,GK,24
Arsenal,Konstantinos Mavropanos,DF,21
Arsenal,Zechariah Medley,DF,19
Arsenal,Matthew Smith,MF,18
Sheffield Utd,George Baldock,DF,26
Sheffield Utd,Enda Stevens,DF,29
Sheffield Utd,Chris Basham,DF,31
Sheffield Utd,Oliver Norwood,MF,28
Sheffield Utd,Dean Henderson,GK,22
Sheffield Utd,John Egan,DF,26
Sheffield Utd,Jack O'Connell,DF,25
Sheffield Utd,John Fleck,MF,27
Sheffield Utd,John Lundstram,MF,25
Sheffield Utd,Oliver McBurnie,FW,23
Sheffield Utd,David McGoldrick,FW,31
Sheffield Utd,Sander Berge,MF,21
Sheffield Utd,Lys Mousset,FW,23
Sheffield Utd,Billy Sharp,FW,33
Sheffield Utd,Callum Robinson,FW,24
Sheffield Utd,Ben Osborn,MF,DF,24
Sheffield Utd,Jack Robinson,DF,25
Sheffield Utd,Luke Freeman,MF,27
Sheffield Utd,Muhamed Bešić,MF,26
Sheffield Utd,Phil Jagielka,DF,36
Sheffield Utd,Simon Moore,GK,29
Sheffield Utd,Richairo Živković,FW,22
Sheffield Utd,Leon Clarke,FW,MF,34
Sheffield Utd,Jack Rodwell,MF,28
Sheffield Utd,Ravel Morrison,MF,26
Sheffield Utd,Kieron Freeman,FW,27
Sheffield Utd,Jake Eastwood,GK,22
Sheffield Utd,Panagiotis Retsos,DF,20
Sheffield Utd,Richard Stearman,DF,31
Sheffield Utd,Michael Verrips,GK,22
Burnley,Nick Pope,GK,27
Burnley,James Tarkowski,DF,26
Burnley,Dwight McNeil,MF,19
Burnley,Ashley Westwood,MF,29
Burnley,Ben Mee,DF,29
Burnley,Jack Cork,MF,30
Burnley,Chris Wood,FW,27
Burnley,Charlie Taylor,DF,25
Burnley,Jeff Hendrick,MF,27
Burnley,Phil Bardsley,DF,34
Burnley,Erik Pieters,DF,MF,30
Burnley,Jay Rodriguez,FW,30
Burnley,Matthew Lowton,DF,30
Burnley,Ashley Barnes,FW,29
Burnley,Josh Brownhill,MF,23
Burnley,Matěj Vydra,FW,27
Burnley,Jóhann Berg Guðmundsson,MF,28
Burnley,Kevin Long,DF,28
Burnley,Robbie Brady,MF,27
Burnley,Aaron Lennon,MF,32
Burnley,Danny Drinkwater,MF,29
Burnley,Max Thompson,FW,17
Burnley,Josh Benson,MF,19
Burnley,Anthony Driscoll-Glennon,DF,19
Burnley,Jimmy Dunne,DF,21
Burnley,Ben Gibson,DF,26
Burnley,Mace Goodridge,MF,19
Burnley,Joe Hart,GK,32
Burnley,Lukas Jensen,GK,
Burnley,Ali Koiki,DF,18
Burnley,Joel Mumbongo,FW,20
Burnley,Bailey Peacock-Farrell,GK,22
Burnley,Bobby Thomas,DF,
Southampton,James Ward-Prowse,MF,DF,24
Southampton,Jan Bednarek,DF,23
Southampton,Danny Ings,FW,27
Southampton,Nathan Redmond,MF,FW,25
Southampton,Ryan Bertrand,DF,29
Southampton,Pierre Højbjerg,MF,23
Southampton,Alex McCarthy,GK,29
Southampton,Jack Stephens,DF,25
Southampton,Oriol Romeu,MF,27
Southampton,Stuart Armstrong,MF,27
Southampton,Jannik Vestergaard,DF,26
Southampton,Cédric Soares,DF,27
Southampton,Shane Long,FW,32
Southampton,Che Adams,FW,23
Southampton,Moussa Djenepo,MF,DF,21
Southampton,Angus Gunn,GK,23
Southampton,Yan Valery,DF,20
Southampton,Sofiane Boufal,MF,FW,25
Southampton,Michael Obafemi,FW,19
Southampton,Kyle Walker-Peters,DF,22
